timepoint,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Treatment
0,232.7177,164.775,186.745,379.6416,134.6946,35.29136,156.3968,68.6686,215.3876,123.0882,140.4,Trab.
3,753.7109,227.2286,465.6964,976.0624,664.2126,476.8941,356.915,232.7707,395.1022,144.144,484.0243,Trab.
6,883.4712,262.5854,351.1685,1458.737,942.149,958.5103,420.1298,238.3129,436.7002,177.9003,519.845,Trab.
9,1290.201,253.4293,499.9696,1875.328,1924.208,1119.539,565.4938,461.319,849.5687,221.9818,1031.875,Trab.
13,1140.531,311.6584,580.1749,2873.805,2678.853,1065.935,828.4058,811.486,1897.836,253.0944,2166.154,Trab.
16,1228.032,464.607,703.95,,,1542.062,1160.64,1259.407,2325.993,436.4984,,Trab.
20,2016.044,818.363,1161.979,,,2116.063,2093.701,2422.504,,959.2783,,Trab.
23,,1111.37728,1411.69392,,,,,,,1604.24784,,Trab.
27,,2108.82672,2448.8672,,,,,,,2547.51588,,Trab.
30,,,,,,,,,,,,Trab.
34,,,,,,,,,,,,Trab.
37,,,,,,,,,,,,Trab.
41,,,,,,,,,,,,Trab.
44,,,,,,,,,,,,Trab.
48,,,,,,,,,,,,Trab.
51,,,,,,,,,,,,Trab.
55,,,,,,,,,,,,Trab.
58,,,,,,,,,,,,Trab.
62,,,,,,,,,,,,Trab.
