timepoint,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,Treatment
0,110.5,68.6686,52.65,605.397,442.2808,43.264,167.6189,269.996,oHSV
3,767.624,258.9787,285.3344,1775.791,877.1521,277.875,503.946,551.772,oHSV
6,1447.264,267.6669,160.381,1742.832,922.3885,201.5957,1130.596,561.4404,oHSV
9,1771.146,221.7566,185.679,2786.977,2215.428,539.3606,1065.935,534.8184,oHSV
13,2195.402,250.5818,212.3269,,,530.4,1281.287,675.5206,oHSV
16,,210.263,185.145,,,345.305,2130.219,1370.187,oHSV
20,,396.265,167.9059,,,666.2344,,2249.728,oHSV
23,,458.64,303.7133,,,1778.157,,,oHSV
27,,684.18896,575.90676,,,1756.7784,,,oHSV
30,,1227.264,889.6493,,,3365.587,,,oHSV
34,,1599.416,1531.638,,,,,,oHSV
37,,2065.6,2491.129,,,,,,oHSV
41,,,,,,,,,oHSV
44,,,,,,,,,oHSV
48,,,,,,,,,oHSV
51,,,,,,,,,oHSV
55,,,,,,,,,oHSV
58,,,,,,,,,oHSV
62,,,,,,,,,oHSV
