timepoint,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Treatment
0,158.66344,85.77088,190.63044,137.92272,117.20176,173.563,Trab.
3,149.916,49.32928,378.94064,154.791,111.01168,265.74912,Trab.
7,318.82292,156.29328,660.83628,218.35008,530.309,115.39372,Trab.
10,297.38592,159.744,1106.2397,263.2526,197.16736,523.79808,Trab.
14,395.1022,262.5854,1483.502,209.1898,160.992,662.0016,Trab.
17,596.907,308.2061,2647.359,413.2674,330.2042,874.588,Trab.
21,1269.363,349.9787,,243.855,483.379,483.379,Trab.
24,2610.41,435.7267,,500.8245,551.1168,1259.375,Trab.
29,,400.14,,852.748,563.16,1151.236,Trab.
31,,362.101,,1690.723,1680.09,2881.064,Trab.
35,,258.97872,,1528.8,2094.3,,Trab.
38,,242.775,,1760.213,,,Trab.
42,,207.831,,4901.926,,,Trab.
45,,190.6304,,,,,Trab.
49,,210.263,,,,,Trab.
52,,234,,,,,Trab.
56,,139.3142,,,,,Trab.
59,,99.67932,,,,,Trab.
63,,118.0301,,,,,Trab.
66,,84.91392,,,,,Trab.
70,,92.95104,,,,,Trab.
73,,78.87672,,,,,Trab.
77,,41.95776,,,,,Trab.
80,,36.38232,,,,,Trab.
84,,22.295,,,,,Trab.
87,,15.99104,,,,,Trab.
91,,12.50964,,,,,Trab.
94,,16.38,,,,,Trab.
98,,13.55692,,,,,Trab.
101,,10.4,,,,,Trab.
105,,2.808,,,,,Trab.
