timepoint,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,Treatment
0,210.4362,192.5352,133.50948,398.66112,273.36192,293.40792,393.588,281.90448,463.0912,425.412,PBS
3,193.648,302.848,324.1134,438.43488,329.56976,512.773,1043.02484,413.27,1207.32352,976.51008,PBS
5,248.625,203.00904,717.288,598,369.20832,842.751,1544.84928,572.1664,1781.676,1259.4816,PBS
7,316.16,272.025,696.55716,810.9504,413.72032,724.09428,1936.48,925.83504,2084.94,2020.29516,PBS
10,417.69364,272.26368,1326.78,1335.20816,698.12756,1520.324,,1172.45128,,,PBS
12,587.6,268.22796,2128.92992,1991.89536,832.83876,2068.976,,1536.11276,,,PBS
14,779.07648,183.68532,,,730.34,,,2198.57664,,,PBS
17,1339.94432,289.536,,,1374.165,,,,,,PBS
21,2355.3,312.832,,,1836.9,,,,,,PBS
24,,290.9634,,,2508.89444,,,,,,PBS
26,,429.624,,,,,,,,,PBS
28,,494.7228,,,,,,,,,PBS
31,,469.36708,,,,,,,,,PBS
33,,450.684,,,,,,,,,PBS
35,,527.22176,,,,,,,,,PBS
38,,551.3664,,,,,,,,,PBS
41,,376.064,,,,,,,,,PBS
45,,379.392,,,,,,,,,PBS
48,,403.6032,,,,,,,,,PBS
52,,589.30144,,,,,,,,,PBS
55,,499.681,,,,,,,,,PBS
59,,773.9524,,,,,,,,,PBS
62,,518.076,,,,,,,,,PBS
66,,458.354,,,,,,,,,PBS
68,,487.99296,,,,,,,,,PBS
73,,624.169,,,,,,,,,PBS
