timepoint,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Treatment
0,224.224,225.225,306.87696,178.36,178.36,156.39676,269.1,397.52388,188.552,283.0464,322.4052,196.78464,484.02432,208.39104,238.54012,Trab.
1,238.54012,232.77072,271.56584,276.224,198.0576,168.06816,297.38592,,,,,,,,,Trab.
2,,,,,,,,,,,,207.831,736.164,234.416,167.90592,Trab.
3,310.37968,228.488,332.1864,125.424,267.66688,326.55168,270.3168,828.40576,286.71136,451.01056,322.4052,,,,,Trab.
6,163.3996,144.144,259.42176,71.5,,,,,,,,14.04,236.964,226.291,154.02816,Trab.
7,,,,,316.16,297.2008,216.58,811.486,723.58,624.26,519.38432,,,,,Trab.
8,114.1504,0,211.59424,94.38,,,,,,,,,,,,Trab.
9,,,,,255,219.375,225.225,,,,,14.04,235.9188,228.488,196.196,Trab.
10,68.45696,0,262.42632,84.3648,,,,1386.92736,583.4972,510.74608,926.78144,,,,,Trab.
13,37.44,0,142.272,0,362.7,199.57184,211.484,,,,,0,177.49368,639.24224,442.9568,Trab.
14,,,,,,,,2022.6024,991.94576,663.065,1209.79456,,,,,Trab.
16,28.4752,0,127.413,14.04,442.2,351.06344,234,,,,,0,295.425,893.464,491.27936,Trab.
17,,,,,,,,,,1198.08,1947.6288,,,,,Trab.
20,15.912,0,150.43808,50.95844,1152.4032,563.16,689.5876,,,,,0,773.955,880.88,696.8,Trab.
21,,,,,,,,,1712.256,2126.696,,,,,,Trab.
23,41.34364,166.1816,208.73216,68.796,1867.25084,703.04,897.66144,,,,,106.1424,1038.427,,,Trab.
25,77.0224,476.9856,198.08256,31.824,,,,,,,,,,,,Trab.
27,,,,,,1067.742,999.18624,,,,,569.32512,1431.55584,1280.448,779.688,Trab.
29,91.97136,733.89888,157.4352,301.12212,,,,,,,,,,,,Trab.
30,,,,,,1782.5184,1172.19492,,,,,,,,,Trab.
33,208.715,1164.32784,138.528,619.164,,,,,,,,,,,,Trab.
34,,,,,,2195.15296,1271.35008,,,,,676.26,2729.376,1606.2696,1908.89972,Trab.
35,,,,,,,1318.2,,,,,,,,,Trab.
36,131.04,1199.328,219.71664,758.1288,,,,,,,,,,,,Trab.
37,,,,,,,,,,,,,,1994.8032,1630.72,Trab.
39,,,,,,,2417.779,,,,,,,,,Trab.
40,177.90032,1834.924,272.3292,1258.491,,,,,,,,,,,2148.796,Trab.
41,,,,,,,,,,,,1048.32,,,,Trab.
42,223.61664,2152.8,264.4928,1497.6,,,,,,,,,,,,Trab.
44,,,,,,,,,,,,1626.92244,,,,Trab.
47,551.3664,,309.465,,,,,,,,,,,,,Trab.
50,583.52944,,374.0958,,,,,,,,,,,,,Trab.
54,1046.38716,,,,,,,,,,,,,,,Trab.
57,1195.79616,,,,,,,,,,,,,,,Trab.
61,2306.70336,,,,,,,,,,,,,,,Trab.
64,,,,,,,,,,,,,,,,Trab.
68,,,,,,,,,,,,,,,,Trab.
71,,,194.08896,,,,,,,,,,,,,Trab.
