timepoint,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,Treatment
0,261.9,437.06,238.04352,272.3292,168.48,426.84928,505.44,610.09,611.33904,oHSV
3,,,,,,660.4,1169.09,1272.245,1822.4128,oHSV
4,601.12,914.30352,333.45,520.65,221.676,,,,,oHSV
7,925.6,1805.5778,492.804,1378.43264,242.06,2161.4424,904.2852,1793.66772,3251.664,oHSV
11,717.1684,2383.394,319.79584,2333.968,342.784,,,,,oHSV
13,642.16152,,401.78736,2333.968,342.65504,,,,,oHSV
15,676,,321.44528,,249.704,,,,,oHSV
18,665.6,,399.36,,290.472,,,,,oHSV
20,871.11492,,401.78736,,395.10224,,,,,oHSV
22,763.85088,,326.144,,313.404,,,,,oHSV
25,1114.074,,499.85676,,523.10284,,,,,oHSV
29,782.7456,,285.376,,357.41888,,,,,oHSV
32,2047.604,,412.15564,,356.915,,,,,oHSV
34,,,285.376,,523.51676,,,,,oHSV
36,,,344.84112,,880.5888,,,,,oHSV
39,,,168.48,,744.185,,,,,oHSV
41,,,280.8,,862.004,,,,,oHSV
43,,,442.2808,,1143.99584,,,,,oHSV
46,,,339.456,,945.945,,,,,oHSV
49,,,827.74224,,276.32384,,,,,oHSV
53,,,389.376,,780,,,,,oHSV
56,,,330.2208,,674.622,,,,,oHSV
60,,,342.65504,,727.415,,,,,oHSV
63,,,340.7586,,795.6,,,,,oHSV
67,,,450.528,,866.4084,,,,,oHSV
70,,,514.74852,,1309.412,,,,,oHSV
74,,,549.3488,,1405.625,,,,,oHSV
76,,,629.25408,,1544.751,,,,,oHSV
81,,,560.55584,,2020.3612,,,,,oHSV
