timepoint,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,Treatment
0,276.224,307.0548,304.19376,289.536,536.73984,242.6112,206.78528,479.232,269.568,304.4938,489.41984,366.44608,153.35424,283.0464,654.8828,398.59872,89.98912,oHSV
2,,,,,,,,,,,905.06,556.9746,138.27996,339.1388,730.56256,405.39564,88.088,oHSV
3,696.55716,679.5932,535.1346,246.6464,1004.52352,381.11632,394.485,687.96,562.64832,662.0016,,,,,,,,oHSV
4,,,,,,,,,,,,,149.76,310.04064,530.4,346.112,44.22808,oHSV
6,,,,,,,,,,,535.6,514.39024,,,,,,oHSV
7,456.56208,584.28864,418.1216,259.42176,879.4656,269.1,246.6464,386.58048,443.53036,411.892,,,160.98264,259.896,606.8348,396.12976,90.9792,oHSV
9,,,,,,,,,,,469.3,343.89888,,,,,,oHSV
10,463.0912,479.48264,504.55548,241.08396,686.4,307.0548,202.176,375.7,296.192,440.75304,,,,,,,,oHSV
11,,,,,,,,,,,,,311.18672,260.48152,634.4,294.34496,224.224,oHSV
13,,,,,,,,,,,319.345,345.644,,,,,,oHSV
14,356.096,527.1552,396.26496,200.21248,505.44,228.05484,116.064,286.71136,276.34932,342.28688,,,186.745,318.37312,534.36656,268.22796,228.15,oHSV
16,,,,,,,,,,,249.93072,332.1656,158.184,322.69536,431.32544,289.9962,234,oHSV
17,339.39776,337.55904,359.424,177.49368,491.985,204.3808,115.84768,259.42176,223.61664,268.22796,,,,,,,,oHSV
18,,,,,,,,,,,,,145.91824,264.992,498.40128,420.12984,466.53568,oHSV
20,,,,,,,,,,,262.58544,170.3936,,,,,,oHSV
21,312.975,528.40944,267.37464,327.52512,630.19476,239.85,59.904,239.85,240.48024,240.48024,,,105.391,335.66208,454.87728,221.04576,375.7,oHSV
23,,,,,,,,,,,,,80.6,276.20944,373.9086,216.58,453.0812,oHSV
24,321.75,564.33104,338.51376,500.82448,858,218.35008,60.4032,196.599,198.744,135.92384,,,,,,,,oHSV
25,,,,,,,,,,,,,168.3136,210.26304,395.41632,368.186,863.1844,oHSV
27,,,,,,,,,,,304.19376,203.84,,,,,,oHSV
28,267.54,292.5,224.96292,553.774,1081.2672,196.599,91.234,149.396,204.87168,89.661,,,78,269.568,252.29568,239.85,587.1216,oHSV
30,,,,,,,,,,,315.54432,225.225,49.99696,242.62056,285.58816,270.3168,759.5536,oHSV
31,268.4422,216.4032,249.3972,551.1168,1115.49984,159.744,49.32928,123.93056,186.004,112.22744,,,,,,,,oHSV
33,,,,,,,,,,,,,68.9,257.47488,216.58,68.9,756.65408,oHSV
34,,,,,,,,,,,207.831,140.4,,,,,,oHSV
35,487.19008,369.97272,307.125,701.1264,2288.46384,136.656,12.4852,87.94656,105.391,106.43724,,,,,,,,oHSV
36,,,,,,,,,,,,,53.35616,312.975,155.376,473.6758,1010.88,oHSV
37,,,,,,,,,,,148.59936,158.91876,,,,,,oHSV
38,527.52128,234,144.82624,682.93368,,,,,,,,,,,,,,oHSV
40,,,,,,,,,,,204,149.0944,29.89896,345.15,158.5584,843.128,863.1844,oHSV
42,552.87284,191.1,283.64336,537.58224,,326.17728,0,86.515,129.168,11.9392,,,,,,,,oHSV
43,,,,,,,,,,,,,19.70176,433.45588,129.168,1164.02832,796.887,oHSV
45,,,,,,310.856,0,36.04224,120.70032,11.6688,,,,,,,,oHSV
47,,,,,,,,,,,,,36.79312,519.35104,127.296,1379.742,702,oHSV
48,,,,,,,,,,,495,111.50568,,,,,,oHSV
49,2077.0048,161.06532,106.62912,455.03744,,777.08176,0,57.434,102.245,11.232,,,,,,,,oHSV
50,,,,,,,,,,,,,33.28,560.6172,155.987,1368.13248,681.67008,oHSV
51,,,,,,,,,,,259,65.47476,,,,,,oHSV
52,,191.1,352.23552,385.2576,,940.1184,0,45.3024,68.9208,17.784,,,,,,,,oHSV
54,,,,,,,,,,,,,21.0392,560.70144,121.68,1618.084,607.1598,oHSV
55,,,,,,1257.984,76.7,10.296,32.42772,62.127,647,81.9,,,,,,oHSV
56,,175.76,373.9086,469.3,,,,,,,,,28.53344,770.22608,153.35424,2032.83756,610.09,oHSV
58,,,,,,,,,,,765,84.3648,,,,,,oHSV
59,,144.83456,340.3166,368.186,,,,,,,,,,,,,,oHSV
61,,,,,,,,,,,,,26.33956,823.34512,145.002,,425.07504,oHSV
62,,143.91936,449.748,268.9128,,,,,,,825,68.29056,,,,,,oHSV
63,,,,,,3029.598,379.08,43.2666,74.1,6.656,,,,,,,,oHSV
64,,,,,,,,,,,,,18.68724,1039.4176,0,,275.24016,oHSV
66,,,,,,,564.33104,8.892,70.2,0,,,,,,,,oHSV
68,,,,,,,,,,,,,22.295,1178.125,0,,262.0618,oHSV
70,,155.987,440.72444,351.06344,,,1078.272,10.062,63.1774,0,,,,,,,,oHSV
73,,177.93152,375.7,183.68532,,,1300,6.864,67.09248,0,,,,,,,,oHSV
77,,158.184,285.42124,200.19636,,,1246.08848,8.658,14.82,0,,,,,,,,oHSV
80,,164.775,534.924,166.40312,,,,,,,,,,,,,,oHSV
84,,101.59344,589.45536,140.22684,,,,,,,,,,,,,,oHSV
