timepoint,5R,5N,6R,6B,18N,18-2R,19R,19L,Treatment
0,505,323,186,229,307,263,271,249,oHSV + Trab. + anti-NK
4,,,,,416,181,225,449,oHSV + Trab. + anti-NK
6,415,300,282,219,,,,,oHSV + Trab. + anti-NK
7,,,,,443,158,237,316,oHSV + Trab. + anti-NK
9,676,379,201,212,,,,,oHSV + Trab. + anti-NK
11,,,,,608,86,293,354,oHSV + Trab. + anti-NK
13,769,338,263,96,,,,,oHSV + Trab. + anti-NK
14,,,,,404,62,189,606,oHSV + Trab. + anti-NK
16,755,353,204,111,,,,,oHSV + Trab. + anti-NK
18,,,,,495,28,135,770,oHSV + Trab. + anti-NK
20,1393,290,266,0,,,,,oHSV + Trab. + anti-NK
21,,,,,772,0,176,728,oHSV + Trab. + anti-NK
23,1066,168,290,0,,,,,oHSV + Trab. + anti-NK
27,2082,120,,,,,,,oHSV + Trab. + anti-NK
28,,,373,0,1333,0,204,1184,oHSV + Trab. + anti-NK
30,,141,399,0,,,,,oHSV + Trab. + anti-NK
32,,,,,2096,0,171,2130,oHSV + Trab. + anti-NK
34,,37,418,0,,,,,oHSV + Trab. + anti-NK
35,,,,,,0,262,,oHSV + Trab. + anti-NK
37,,0,672,0,,,,,oHSV + Trab. + anti-NK
39,,,,,,0,339,,oHSV + Trab. + anti-NK
42,,0,932,0,,0,631,,oHSV + Trab. + anti-NK
44,,0,719,0,,,,,oHSV + Trab. + anti-NK
48,,0,1108,0,,0,996,,oHSV + Trab. + anti-NK
51,,0,1832,0,,,,,oHSV + Trab. + anti-NK
52,,,,,,0,1003,,oHSV + Trab. + anti-NK
55,,0,2024,0,,0,1495,,oHSV + Trab. + anti-NK
58,,0,,0,,,,,oHSV + Trab. + anti-NK
60,,,,,,0,2442,,oHSV + Trab. + anti-NK
