timepoint,oHSV,oHSV,oHSV,oHSV,oHSV,Treatment
0,346.106592,227.56113,379.498862,245.814267,281.558385,oHSV
3,569.32512,379.08,528.40944,655.05024,676.26,oHSV
7,229.1328,229.99964,243.85504,319.345,426.84928,oHSV
11,203.8608,122.694,203.00904,175.071,382.11264,oHSV
14,144.4716,81.46944,193.74524,123.93056,274.95936,oHSV
18,94.58176,91,151.76304,94.9,263.25,oHSV
21,51.597,41.12784,91.32032,86.515,153.35424,oHSV
25,442.26,13,66.17156,94.38,198.4138,oHSV
28,456.56208,0,73.11616,59.904,252.81256,oHSV
32,1230.07248,0,62.30016,8.32,320.64032,oHSV
34,1630.72,0,86.18012,8.3148,530.4,oHSV
39,2673.3096,0,1520.3656,140.57472,479.48264,oHSV
42,,0,1692.75392,159.744,437.06,oHSV
46,,0,3209.34276,356.915,611.585,oHSV
49,,32.266,,366.912,855.712,oHSV
53,,59.6336,,710.892,1137.5,oHSV
55,,64.844,,809.67328,1762.722,oHSV
60,,83.2728,,1582.659,2371.26604,oHSV
