timepoint,PBS,PBS,PBS,PBS,PBS,PBS,PBS,Treatment
0,62.30016,108.537,72.8,636.5424,73.66268,104.74776,85.77088,PBS
3,203.84,632.9794,337.7603,935.4103,187.5494,191.3564,252.1683,PBS
6,375.8726,1597.46,385.969,1769.697,236.3442,217.5696,398.6611,PBS
9,484.4642,2755.433,709.1594,,475.1718,519.351,652.3546,PBS
13,726.2112,,1094.808,,1101.3912,1145.625,993.0024,PBS
16,858.819,,1747.9706,,1757.4804,1388.9403,1388.0646,PBS
20,1657.5,,3024.6382,,3407.95,2747.5682,2831.4,PBS
23,2651.4488,,,,,,,PBS
27,,,,,,,,PBS
30,,,,,,,,PBS
34,,,,,,,,PBS
37,,,,,,,,PBS
41,,,,,,,,PBS
44,,,,,,,,PBS
48,,,,,,,,PBS
51,,,,,,,,PBS
55,,,,,,,,PBS
58,,,,,,,,PBS
62,,,,,,,,PBS
