timepoint,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,oHSV,Treatment
0,100.1,121.6426,178.9133,211.484,125.8546,136.656,288.1923,246.2886,oHSV
3,287.8949,179.7396,203.0824,294.2222,227.7662,194.7629,261.3062,513.0512,oHSV
7,185.679,161.8739,160.5984,282.3309,162.5333,133.925,222.8148,370.5811,oHSV
10,165.3538,98.4256,125.0215,294.345,267.54,87.17696,289.575,385.7162,oHSV
14,74.9112,31.67424,103.1098,373.0542,396.032,57.21664,304.2,336.7343,oHSV
17,77.3344,20.4,119.4679,494.4139,1138.176,66.0192,59.15,425.412,oHSV
21,86.43024,28.08,153.79,730.3889,2704.488,58.31696,83.74,366.912,oHSV
24,68.9,110.2904,124.1989,642.096,,74.52224,244.608,433.836,oHSV
29,39.936,228.15,104.9568,1073.546,,131.04,199.2968,259.1243,oHSV
31,24.93504,403.6542,80.6,1165.804,,173.1226,186.745,306.877,oHSV
35,0,394.485,36.04224,1048.32,,446.472,96.2,191.3564,oHSV
38,0,488.8166,22.6512,1477.84,,429.624,21.0392,175.76,oHSV
42,7.29,903.0237,33.7896,3421.127,,1168.804,9.49104,228.15,oHSV
45,7.56,1323.958,34.54048,,,1814.048,0,229.1328,oHSV
49,0,2142.818,15.46688,,,2722.911,0,243.855,oHSV
52,0,,12.3032,,,,0,210.912,oHSV
56,0,,2.6624,,,,0,304.6846,oHSV
59,0,,1.57248,,,,0,349.44,oHSV
63,0,,2.34416,,,,0,419.5776,oHSV
66,0,,2.85532,,,,0,631.1557,oHSV
70,,,0.4992,,,,0,837.0086,oHSV
73,,,0.45864,,,,0,861.2698,oHSV
77,,,0.81796,,,,0,772.3352,oHSV
80,,,0.01456,,,,0,1060.376,oHSV
84,,,0,,,,0,1157.225,oHSV
87,,,0,,,,0,1418.871,oHSV
91,,,0,,,,0,1761.527,oHSV
94,,,0,,,,0,2094.936,oHSV
98,,,0,,,,0,,oHSV
101,,,0,,,,0,,oHSV
105,,,0,,,,0,,oHSV
