timepoint,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,Treatment
0,235.9188,127.296,77.3344,247.73424,382.5536,86.515,174.41424,142.70464,322.816,226.02112,PBS
2,520.923,204.46296,180.908,363.63392,524.3784,,,,,,PBS
3,,,,,,113.7032,232.77072,226.43712,761.30184,264.30976,PBS
5,347.99544,229.99964,188.552,342.65504,319.21344,,,,,,PBS
7,428.298,198.744,233.49664,442.9568,262.58544,178.36,492.765,277.65504,1490.944,577.33624,PBS
10,479.19872,387.17848,303.64308,780.208,418.1216,469.64736,758.16,312.975,2219.8176,818.8128,PBS
13,547.56,234,475.33824,623.0016,272.60688,,,,,,PBS
14,,,,,,868.43016,1826.14016,471.744,,1235.13156,PBS
15,703.3104,272.896,773.916,762.489,252.81256,,,,,,PBS
17,,,,,,958.60544,2227.60044,539.695,,1513.10016,PBS
18,983.411,452.1426,1063.296,896.9688,421.99976,,,,,,PBS
21,1073.47812,683.59824,1180.062,942.86296,634.4,1277.952,,805.376,,2022.605,PBS
24,,,,,,1466.85032,,,,,PBS
25,1413.75,1003.392,1786.42464,1702.37184,1509.88032,,,,,,PBS
28,1585.584,1025.856,2398.656,2082.6,1872,2000.7,,,,,PBS
32,2348.684,1295.64864,,,2462.72,,,,,,PBS
35,,1300.624,,,,,,,,,PBS
39,,1477.84,,,,,,,,,PBS
41,,1725.2352,,,,,,,,,PBS
46,,2263.04,,,,,,,,,PBS
