timepoint,5R,5L,5B,5N,5-2R,Treatment
0,108.6072,77.8752,142.40772,107.65872,253.0944,oHSV
2,203.08236,192.3584,269.568,145.002,304.19376,oHSV
5,288.83348,421.2,481.23036,165.35376,600.51888,oHSV
8,308.3054,584.92928,496.12368,97.86556,788.7672,oHSV
12,488.81664,1085.65704,1021.57952,81.9,2145.82368,oHSV
15,505.4192,1137.73296,2157.88664,97.86556,,oHSV
19,1001.46592,2186.275,,65,,oHSV
22,1669.45636,,,56.87136,,oHSV
26,2373.67,,,74.1,,oHSV
29,,,,96.40488,,oHSV
33,,,,156.85488,,oHSV
36,,,,249.29216,,oHSV
40,,,,390.60736,,oHSV
43,,,,421.2,,oHSV
47,,,,622.1592,,oHSV
50,,,,786.5,,oHSV
54,,,,1775.39544,,oHSV
56,,,,2071.82976,,oHSV
,,,,,,oHSV
