timepoint,Combo,Combo,Combo,Combo,Combo,Combo,Treatment
0,258.600676,203.857224,197.104717,276.500297,227.348638,252.226716,oHSV + Trab.
3,516.23,285.3344,239.85,509.39616,297.2008,708.72048,oHSV + Trab.
11,400.14,59.73136,80.27136,198.4138,130.02444,235.5418,oHSV + Trab.
14,318.82292,57.915,48.0766,142.805,50.544,135.92384,oHSV + Trab.
17,,,,,,,oHSV + Trab.
18,102.2476,41.08364,73.11616,132.08832,62.426,118.2636,oHSV + Trab.
21,46.30912,37.44,28.88028,20.23424,48.61584,68.29056,oHSV + Trab.
25,0,0,0,0,0,0,oHSV + Trab.
28,0,0,0,0,0,0,oHSV + Trab.
32,0,0,0,0,0,0,oHSV + Trab.
34,0,0,0,0,0,0,oHSV + Trab.
39,0,0,0,0,0,0,oHSV + Trab.
42,0,0,0,0,0,0,oHSV + Trab.
46,0,1062.0558,0,0,0,0,oHSV + Trab.
49,0,1620.528,0,0,0,81.55264,oHSV + Trab.
53,0,2524.35456,0,0,0,45.18956,oHSV + Trab.
55,0,,0,0,0,52.28496,oHSV + Trab.
60,0,,0,0,0,0,oHSV + Trab.
