timepoint,Combo,Combo,Combo,Combo,Combo,Treatment
0,167.61888,330.616,163.3996,342.65504,189.95392,oHSV + Trab.
5,179.186165,284.874667,179.617667,558.471648,226.813125,oHSV + Trab.
7,171.603996,121.524181,118.239744,661.652833,120.6528,oHSV + Trab.
12,43.010838,180.823671,101.817557,647.796613,72.0041667,oHSV + Trab.
14,47,159.676,54.296,670.096,41.373,oHSV + Trab.
19,68,245.281,40.218,811.683,26.525,oHSV + Trab.
21,34,455.331,16.967,1527.729,18.232,oHSV + Trab.
26,13,794.834,0,1660.635,0,oHSV + Trab.
28,0,875.046,0,2248.777,0,oHSV + Trab.
33,0,2092.666,41.635,,0,oHSV + Trab.
35,0,,36.028,,0,oHSV + Trab.
40,0,,191.975,,0,oHSV + Trab.
42,0,,290.87,,0,oHSV + Trab.
47,0,,808.819,,0,oHSV + Trab.
51,0,,967.744,,0,oHSV + Trab.
54,0,,1114.901,,0,oHSV + Trab.
57,0,,1721.152,,0,oHSV + Trab.
61,0,,2666.163,,0,oHSV + Trab.
64,0,,,,0,oHSV + Trab.
68,0,,,,0,oHSV + Trab.
71,0,,,,0,oHSV + Trab.
75,0,,,,0,oHSV + Trab.
78,0,,,,0,oHSV + Trab.
