timepoint,3L,4L,7L,7B,7N,7-2R,Treatment
0,427,164,315,178,192,210,oHSV + Trab. + anti-CD4
7,892,338,160,91,92,65,oHSV + Trab. + anti-CD4
10,1074,310,203,113,60,59,oHSV + Trab. + anti-CD4
14,1437,306,362,15,51,11,oHSV + Trab. + anti-CD4
17,1695,370,467,21,20,0,oHSV + Trab. + anti-CD4
21,1345,165,551,13,10,0,oHSV + Trab. + anti-CD4
24,1384,265,612,0,0,0,oHSV + Trab. + anti-CD4
28,1064,245,629,0,0,0,oHSV + Trab. + anti-CD4
30,1239,,,,,,oHSV + Trab. + anti-CD4
31,,206,1026,0,0,0,oHSV + Trab. + anti-CD4
35,1035,228,1086,0,0,0,oHSV + Trab. + anti-CD4
37,1278,261.43936,1048,0,0,0,oHSV + Trab. + anti-CD4
40,1115,,1309,0,0,0,oHSV + Trab. + anti-CD4
41,1895,,,,,,oHSV + Trab. + anti-CD4
42,,,2220,0,0,0,oHSV + Trab. + anti-CD4
43,,345,,0,0,0,oHSV + Trab. + anti-CD4
44,2696,,,,,,oHSV + Trab. + anti-CD4
45,,,,0,0,0,oHSV + Trab. + anti-CD4
47,,703,,,,,oHSV + Trab. + anti-CD4
49,,,,0,0,0,oHSV + Trab. + anti-CD4
51,,1160,,,,,oHSV + Trab. + anti-CD4
52,,,,0,0,0,oHSV + Trab. + anti-CD4
54,,760,,,,,oHSV + Trab. + anti-CD4
56,,,,0,0,0,oHSV + Trab. + anti-CD4
58,,995,,,,,oHSV + Trab. + anti-CD4
59,,,,0,0,0,oHSV + Trab. + anti-CD4
61,,1370,,0,0,0,oHSV + Trab. + anti-CD4
63,,,,,,,oHSV + Trab. + anti-CD4
65,,2445,,,,,oHSV + Trab. + anti-CD4
